fold,league,n_half,n_half_eff,n_matches,gain_hits,entropy_hits,gain_acc_hg,entropy_acc_hg,overlap,gain_only_total,entropy_only_total,gain_only_hits,entropy_only_hits,gain_avg_gain,gain_avg_top2,gain_avg_entropy,entropy_avg_gain,entropy_avg_top2,entropy_avg_entropy
1,all,2,2,1154,2,1,1.0,0.5,0,2,2,2,1,0.3864,0.7751,0.9742,0.3372,0.7232,0.9915
1,all,4,4,1154,4,3,1.0,0.75,0,4,4,4,3,0.386,0.7767,0.9734,0.3509,0.7305,0.9903
1,all,6,6,1154,6,3,1.0,0.5,0,6,6,6,3,0.3856,0.7764,0.9735,0.3526,0.7333,0.9896
1,E0,2,2,225,1,1,0.5,0.5,0,2,2,1,1,0.3987,0.8018,0.959,0.3757,0.7726,0.9751
1,E0,4,4,225,1,3,0.25,0.75,0,4,4,1,3,0.3958,0.7991,0.9607,0.3786,0.7775,0.9726
1,E0,6,6,225,3,5,0.5,0.8333,1,5,5,2,4,0.3939,0.7961,0.9624,0.3757,0.7796,0.9713
1,E1,2,2,299,1,1,0.5,0.5,0,2,2,1,1,0.4027,0.8189,0.9466,0.3452,0.7358,0.9879
1,E1,4,4,299,3,3,0.75,0.75,0,4,4,3,3,0.3997,0.812,0.9517,0.3511,0.742,0.9864
1,E1,6,6,299,4,4,0.6667,0.6667,0,6,6,4,4,0.3974,0.8076,0.9547,0.3549,0.7456,0.9854
1,E2,2,2,317,1,1,0.5,0.5,0,2,2,1,1,0.3824,0.7782,0.9725,0.3575,0.7348,0.9898
1,E2,4,4,317,3,3,0.75,0.75,0,4,4,3,3,0.3805,0.7748,0.9738,0.3524,0.734,0.9895
1,E2,6,6,317,5,4,0.8333,0.6667,0,6,6,5,4,0.3794,0.7702,0.9761,0.3541,0.7353,0.9893
1,E3,2,2,313,2,2,1.0,1.0,0,2,2,2,2,0.3824,0.7695,0.9769,0.3422,0.7178,0.9933
1,E3,4,4,313,3,4,0.75,1.0,0,4,4,3,4,0.3817,0.7678,0.9777,0.3457,0.7209,0.9929
1,E3,6,6,313,5,6,0.8333,1.0,0,6,6,5,6,0.3811,0.7665,0.9783,0.3454,0.7228,0.9924
2,all,2,2,1155,0,0,0.0,0.0,0,2,2,0,0,0.3851,0.7708,0.9763,0.3726,0.7516,0.9844
2,all,4,4,1155,1,1,0.25,0.25,0,4,4,1,1,0.3835,0.7681,0.9775,0.3647,0.7519,0.9839
2,all,6,6,1155,2,3,0.3333,0.5,0,6,6,2,3,0.3829,0.7678,0.9777,0.3661,0.7533,0.9834
2,E0,2,2,211,2,1,1.0,0.5,1,1,1,1,0,0.3826,0.7737,0.9749,0.3805,0.7719,0.9757
2,E0,4,4,211,2,3,0.5,0.75,2,2,2,1,2,0.3804,0.7731,0.9751,0.3773,0.772,0.9755
2,E0,6,6,211,3,3,0.5,0.5,4,2,2,1,1,0.3792,0.7734,0.9749,0.377,0.7723,0.9754
2,E1,2,2,333,1,0,0.5,0.0,0,2,2,1,0,0.3837,0.7701,0.9766,0.3307,0.685,0.9989
2,E1,4,4,333,3,1,0.75,0.25,0,4,4,3,1,0.3825,0.7767,0.9726,0.3346,0.6904,0.9985
2,E1,6,6,333,5,2,0.8333,0.3333,0,6,6,5,2,0.3805,0.7779,0.9721,0.3328,0.6935,0.9978
2,E2,2,2,308,2,2,1.0,1.0,0,2,2,2,2,0.3779,0.7582,0.9818,0.3745,0.7566,0.9825
2,E2,4,4,308,3,3,0.75,0.75,1,3,3,2,2,0.3767,0.7585,0.9817,0.3717,0.7565,0.9824
2,E2,6,6,308,5,4,0.8333,0.6667,3,3,3,2,1,0.3757,0.7583,0.9818,0.3727,0.7568,0.9823
2,E3,2,2,303,2,2,1.0,1.0,0,2,2,2,2,0.4048,0.8151,0.95,0.3484,0.7315,0.9902
2,E3,4,4,303,4,4,1.0,1.0,0,4,4,4,4,0.4044,0.8131,0.9514,0.3316,0.7259,0.9894
2,E3,6,6,303,6,6,1.0,1.0,0,6,6,6,6,0.4036,0.8149,0.9501,0.3291,0.7272,0.9884
3,all,2,2,1161,1,0,0.5,0.0,0,2,2,1,0,0.3756,0.7519,0.9843,0.353,0.7365,0.989
3,all,4,4,1161,2,2,0.5,0.5,0,4,4,2,2,0.3752,0.7519,0.9844,0.3544,0.738,0.9886
3,all,6,6,1161,3,4,0.5,0.6667,0,6,6,3,4,0.3748,0.7507,0.9848,0.3531,0.7384,0.9884
3,E0,2,2,206,0,1,0.0,0.5,0,2,2,0,1,0.3778,0.766,0.9784,0.3364,0.6875,0.9989
3,E0,4,4,206,2,2,0.5,0.5,0,4,4,2,2,0.3745,0.7619,0.9801,0.3306,0.6882,0.9984
3,E0,6,6,206,4,4,0.6667,0.6667,0,6,6,4,4,0.3727,0.7672,0.9774,0.3332,0.6914,0.9981
3,E1,2,2,291,2,1,1.0,0.5,0,2,2,2,1,0.3736,0.7544,0.9833,0.3322,0.6769,0.9996
3,E1,4,4,291,3,3,0.75,0.75,0,4,4,3,3,0.3706,0.7512,0.9845,0.3339,0.6805,0.9994
3,E1,6,6,291,5,5,0.8333,0.8333,0,6,6,5,5,0.3688,0.7518,0.9842,0.3365,0.6836,0.9992
3,E2,2,2,329,1,1,0.5,0.5,0,2,2,1,1,0.3787,0.7607,0.9808,0.3567,0.72,0.994
3,E2,4,4,329,3,3,0.75,0.75,0,4,4,3,3,0.3769,0.758,0.9819,0.3543,0.7255,0.9923
3,E2,6,6,329,4,5,0.6667,0.8333,0,6,6,4,5,0.3754,0.7572,0.9822,0.3539,0.7297,0.991
3,E3,2,2,335,1,1,0.5,0.5,0,2,2,1,1,0.379,0.7587,0.9817,0.3508,0.753,0.9823
3,E3,4,4,335,2,2,0.5,0.5,0,4,4,2,2,0.3775,0.7589,0.9815,0.3468,0.7519,0.9822
3,E3,6,6,335,3,2,0.5,0.3333,1,5,5,3,2,0.3764,0.759,0.9815,0.3522,0.7532,0.9821
4,all,2,2,1146,2,1,1.0,0.5,0,2,2,2,1,0.3791,0.7607,0.9808,0.3303,0.7082,0.9945
4,all,4,4,1146,4,3,1.0,0.75,0,4,4,4,3,0.3772,0.7605,0.9808,0.3431,0.7164,0.9937
4,all,6,6,1146,5,5,0.8333,0.8333,0,6,6,5,5,0.3759,0.761,0.9806,0.3472,0.7196,0.9932
4,E0,2,2,224,2,1,1.0,0.5,0,2,2,2,1,0.3785,0.7655,0.9787,0.3396,0.6854,0.9992
4,E0,4,4,224,4,3,1.0,0.75,0,4,4,4,3,0.3751,0.7694,0.9766,0.3279,0.6888,0.9977
4,E0,6,6,224,6,5,1.0,0.8333,0,6,6,6,5,0.3731,0.7697,0.9761,0.327,0.7007,0.9947
4,E1,2,2,324,2,1,1.0,0.5,0,2,2,2,1,0.3869,0.7963,0.9621,0.3375,0.6834,0.9992
4,E1,4,4,324,4,3,1.0,0.75,0,4,4,4,3,0.3817,0.7939,0.9631,0.3402,0.6925,0.9982
4,E1,6,6,324,6,5,1.0,0.8333,0,6,6,6,5,0.3782,0.7795,0.9703,0.3403,0.6973,0.9975
4,E2,2,2,301,1,1,0.5,0.5,0,2,2,1,1,0.3818,0.7654,0.9788,0.3529,0.749,0.9843
4,E2,4,4,301,3,2,0.75,0.5,0,4,4,3,2,0.3803,0.7622,0.9802,0.3572,0.7511,0.9838
4,E2,6,6,301,4,4,0.6667,0.6667,0,6,6,4,4,0.3794,0.7625,0.98,0.363,0.7527,0.9834
4,E3,2,2,297,2,0,1.0,0.0,0,2,2,2,0,0.3744,0.7497,0.9852,0.3533,0.7418,0.9871
4,E3,4,4,297,4,1,1.0,0.25,0,4,4,4,1,0.374,0.7488,0.9855,0.3571,0.7429,0.987
4,E3,6,6,297,4,1,0.6667,0.1667,0,6,6,4,1,0.3732,0.7483,0.9857,0.3609,0.7437,0.9869
